;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
45;14650506 GASTOS ADICIONALES IMPORTACION;;; 360.000,00 ;; 360.000,00 ;;;;;;;;;;;
46;15121501 EQUIPOS DE COMPUTACIÓN Y COMUNICACIÓN; 2.289.889,00 ;;;; 2.289.889,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
47;15201001 MAQUINARIA Y EQUIPO                               ; 101.271.183,00 ;;;; 101.271.183,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
48;15240501 MUEBLES Y ENSERES                                 ; 255.707.383,00 ;; 16.128.000,00 ;; 271.835.383,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
49;15241001 EQUIPOS DE OFICINA                                ; 8.386.309,00 ;;;; 8.386.309,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
50;15241002 EQUIPO DE COMPUTO                                 ; 8.355.850,00 ;;; 1.427.606,00 ; 6.928.244,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
51;15280501 EQUIPOS DE PROCESAMIENTO DE DATOS                 ; 4.755.401,00 ;;;; 4.755.401,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
52;15280502 EQUIPOS PARA EXHIBICIÓN DE PRODUCTOS; 12.176.588,00 ;;;; 12.176.588,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
53;15283005 SISTEMA DE SEGURIDAD                              ; 13.068.342,00 ;;;; 13.068.342,00 ;;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
54;15921001 MAQUINARIA Y EQUIPO                               ;; 24.241.001,00 ;;;; 24.241.001,00 ;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
55;15921501 EQUIPO DE OFICINA                                 ;; 20.511.284,00 ;;;; 20.511.284,00 ;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
56;15922001 EQUIPO DE COMPUTACION Y COMUNICACION              ;; 12.419.828,00 ;;;; 12.419.828,00 ;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
57;15922402 MUEBLES Y ENSERES                                 ;; 128.648.939,00 ;;;; 128.648.939,00 ;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
58;15929503 EQUIPO DE OFICINA                                 ;; 2.178.060,00 ;;;; 2.178.060,00 ;1001;5008;Sumatoria de valor por tercero (4);D;(M) Pago o abono en cuenta deducible;;;;;
59;16984001 LICENCIA                                          ; 50.159.826,00 ;; 27.000.000,00 ; 27.000.000,00 ; 50.159.826,00 ;;;;;;;;;;;
60;21051005 ROTATIVO BANCOLOMBIA                              ;; 81.281.694,60 ; 4.583.713,12 ;;; 76.697.981,48 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
61;21051007 CREDITO BANCOLOMBIA (88146) 150 MIL               ;; 12.520.913,00 ; 12.520.913,00 ;;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
62;21051008 CREDITO BANCOLOMBIA (88649)                       ;; 29.307.627,71 ; 29.307.627,71 ;;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
63;21051016 CREDITO BANCO BOGOTA (6641898)                    ;; 60.621.257,00 ; 20.369.871,00 ;;; 40.251.386,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
64;21051017 CREDITO BANCOLDEX (40826);; 151.021.961,00 ; 232.064.417,92 ;; 81.042.456,92 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
65;21051019 CREDITO BANCO BOGOTA (759650157);; 69.863.336,00 ; 6.623.020,00 ;;; 63.240.316,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
66;21051020 CR BANCOLOMBIA MON EXT (87772)                    ;; 172.787.354,00 ;;;; 172.787.354,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
67;21051022 CREDITO BANCO BOGOTA (3285);;; 6.912.250,00 ;; 6.912.250,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
68;21051024 CREDITO BANCO BOGOTA (2361);; 21.835.945,00 ; 21.835.945,00 ;;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
69;21051025 CARTERA BANCO BOGOTA (52056);;; 12.491.742,00 ;; 12.491.742,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
70;21051028 ORDINARIA IBR BANCOLOMBIA (92716);; 47.527.752,00 ; 11.472.222,00 ;;; 36.055.530,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
71;21051029 ORDINARIA IBR BANCOLOMBIA (93324);; 51.555.552,00 ; 12.888.888,00 ;;; 38.666.664,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
72;21051032 CREDITO BANCOLOMBIA (11930);; 5.333.338,00 ; 4.266.664,00 ;;; 1.066.674,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
73;21051033 CREDITO BANCOLOMBIA (12016);; 1.572.079,00 ; 1.143.336,00 ;;; 428.743,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
74;21051034 CREDITO BANCOLOMBIA (12206);; 1.977.161,07 ; 1.318.104,00 ;;; 659.057,07 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
75;21051035 CREDITO BANCOLOMBIA (13067);; 6.091.669,00 ; 2.866.664,00 ;;; 3.225.005,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
76;21051038 CREDITO BANCOLOMBIA (12747);;; 18.750.000,00 ;; 18.750.000,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
77;21051040 CREDITO BANCOLOMBIA (14855);;; 3.914.800,00 ;; 3.914.800,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
78;21051041 CREDITO BANCOLOMBIA (15024);;; 6.800.019,00 ;; 6.800.019,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
79;21051042 CREDITO BANCO BOGOTA (80268);;; 83.043.984,00 ;; 83.043.984,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
