;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
277;52351001 SERVICIOS TEMPORALES (INTERACTUA)                 ;;; 212.350,60 ;; 212.350,60 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
278;52351003 SERVICIOS TEMPORAL (FORZA)                           ;;; 1.795.928.538,00 ;; 1.795.928.538,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
279;52351004 SERVICIOS TEMPORALES (GENTE OPORTUNA);;; 22.942.874,00 ; 140.623,00 ; 22.802.251,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
280;52352001 PROCESAMIENTO ELECTRONICO DE DATOS                ;;; 9.962.387,47 ; 66.468,16 ; 9.895.919,31 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
281;52352002 OPERACION DIGITAL                                 ;;; 80.009.760,00 ;; 80.009.760,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
282;52354001 CORREO PORTES Y TELEGRAMAS                        ;;; 48.691.267,15 ; 704.845,41 ; 47.986.421,74 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
283;52355001 TRANSPORTE FLETES Y ACARREOS                      ;;; 142.828.704,70 ; 571.238,00 ; 142.257.466,70 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
284;52356001 PROPAGANDA Y PUBLICIDAD                           ;;; 443.288.105,46 ; 1.119.357,49 ; 442.168.747,97 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
285;52356002 EXHIBICION DE PRODUCTOS                           ;;; 80.009.760,00 ;; 80.009.760,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
286;52356003 LOGISTICA DE PRODUCTOS                            ;;; 43.000.426,90 ; 265.844,54 ; 42.734.582,36 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
287;52356004 BONOS PUBLICITARIOS                               ;;; 45.182.340,00 ; 189.223,00 ; 44.993.117,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
288;52359505 MENSAJERIA URBANA                                 ;;; 290.000,00 ;; 290.000,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
289;52409501 OTROS MANDATO TERCEROS                            ;;; 2.152.100,00 ; 98.000,00 ; 2.054.100,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
290;52452001 EQ. DE OFICINA SALA DE VENTAS                     ;;; 830.000,00 ;; 830.000,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
291;52950501 COMISIONES DE VENTAS                              ;;; 34.775.778,03 ; 979.593,13 ; 33.796.184,90 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
292;52952001 GASTOS DE REPRESENTACION Y RELACION PU            ;;; 525.884,28 ;; 525.884,28 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
293;52956001 CASINO Y RESTAURANTE                              ;;; 10.136.375,01 ;; 10.136.375,01 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
294;52959502 OTRA TARIFA NACIONAL                              ;;; 5.925,00 ;; 5.925,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
295;52959507 MUESTRAS SIN VALOR COMERCIAL                      ;;; 2.573.055,06 ; 151.321,87 ; 2.421.733,19 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
296;52959508 GARANTIAS SOBRE VENTAS                            ;;; 1.604.300,00 ;; 1.604.300,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
297;52959509 GASTOS NO DEDUCIBLES GERENCIAS;;; 12.135.852,80 ;; 12.135.852,80 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
298;53050501 GASTOS BANCARIOS                                  ;;; 45.562.076,80 ; 262.585,06 ; 45.299.491,74 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
299;53051501 COMISIONES  BANCARIAS                             ;;; 23.346.361,00 ;; 23.346.361,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
300;53052001 INTERESES                                         ;;; 462.177.199,89 ; 92.595,69 ; 462.084.604,20 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
301;53052002 INTERESES DE MORA                                 ;;; 143.098.972,00 ; 4.315.798,00 ; 138.783.174,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
302;53052003 INTERESES A PARTICULARES                          ;;; 115.163.952,00 ;; 115.163.952,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
303;53052501 DIFERENCIA EN CAMBIO                              ;;; 200.504.494,93 ; 8.425.628,54 ; 192.078.866,39 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
304;53053501 DESCUENTOS COMERCIALES CONDICIONADOS              ;;; 806.375.378,98 ; 38.514.638,96 ; 767.860.740,02 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
305;53059501 CUATRO X MIL                                      ;;; 70.708.419,44 ; 240,00 ; 70.708.179,44 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
306;53151501 COSTOS Y GASTOS DE EJERCICIOS ANTERIORES          ;;; 896.985.109,50 ; 55.690,34 ; 896.929.419,16 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
307;53152001 IMPUESTOS ASUMIDOS                                ;;; 5.014.241,18 ; 97.304,94 ; 4.916.936,24 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
308;53952001 MULTAS SANCIONES Y LITIGIOS                       ;;; 61.200,00 ;; 61.200,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
309;53952501 DONACIONES COLTRADE;;; 1.800.000,00 ;; 1.800.000,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
310;53953001 FNG - FONDO NACIONAL DE GARANTIAS                 ;;; 56.154.981,00 ; 1.653.465,00 ; 54.501.516,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
311;53959501 AJUSTE AL PESO                                    ;;; 295.454,94 ; 56.361,61 ; 239.093,33 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
312;613595 Venta de Otros Productos;;;; 2.635.845,58 ;; 2.635.845,58 ;;;;;;;;;;
313;61359501 PRODUCTOS GRAVADOS AL 19%                         ;;; 652.984.217,60 ; 557.049.914,00 ; 95.934.303,60 ;;;;;;;;;;;
314;61359502 PRODUCTOS EXENTOS DE IVA                          ;;; 10.440.688,90 ; 7.033.208,82 ; 3.407.480,08 ;;;;;;;;;;;
315;999999 Ganancias/pérdidas no distribuidas; 274.960.477,65 ;; 167.610.196,70 ; 293.046.199,42 ; 149.524.474,93 ;;;;;;;;;;;
;Total; 7.910.669.446,85 ; 7.910.669.446,85 ; 586.539.725.378,37 ; 586.539.725.378,37 ; 485.967.981.360,77 ; 485.967.981.360,77 ;;;;;;;;;;
